Name,Links,Cost,Cuisines,Timings,Open_Hours,Open_Days
Eat India Company,https://www.zomato.com/hyderabad/eat-india-company-gachibowli,1300,"['NorthIndian', 'Mughlai', 'Beverages']","12 PM to 3 PM, 7 PM to 11 PM","12 PM to 3 PM, 7 PM to 11 PM",
Labonel,https://www.zomato.com/hyderabad/labonel-gachibowli,1000,"['Bakery', 'Desserts']","11 AM to 8 PM (Mon-Sat), Sun Closed",11 AM to 8 PM,"Mon, Tue, Wed, Thu, Fri, Sat"
Driven Cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600,"['Cafe', 'FastFood', 'Beverages']",4 AM to 12 AM,4 AM to 12 AM,
Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,"['FastFood', 'Biryani', 'Desserts']",9 AM to 1 AM,9 AM to 1 AM,
Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,"['NorthIndian', 'SouthIndian']",10:30 AM to 11 PM,10:30 AM to 11 PM,
The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,['Bakery'],7 AM to 11 PM,7 AM to 11 PM,
Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,"['Italian', 'NorthIndian', 'Chinese', 'Salad']","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",
Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,1100,"['NorthIndian', 'Mughlai']","12 PM to 3:30 PM, 7 PM to 11:30 PM","12 PM to 3:30 PM, 7 PM to 11:30 PM",
Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,"['NorthIndian', 'Chinese', 'Continental', 'Biryani']","12 PM to 3:30 PM, 7 PM to 11 PM","12 PM to 3:30 PM, 7 PM to 11 PM",
Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,"['NorthIndian', 'Burger', 'Kebab']","12PM to 12AM (Mon, Tue, Wed, Thu, Sun), 12PM to 1AM (Fri-Sat)",12PM to 12AM. 12PM to 1AM,"Mon, Tue, Wed, Thu, Sun. Fri, Sat"
Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,"['NorthIndian', 'Chinese']",11AM to 11PM (Mon-Sun),11AM to 11PM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,"['NorthIndian', 'Chinese', 'Seafood', 'Biryani', 'Hyderabadi']",6 AM to 11:30 PM,6 AM to 11:30 PM,
GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500,"['Burger', 'American']",11:30 AM to 5 AM,11:30 AM to 5 AM,
T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,"['NorthIndian', 'Andhra', 'Biryani', 'Chinese']","12:30 PM to 3:30 PM, 7 PM to 11 PM","12:30 PM to 3:30 PM, 7 PM to 11 PM",
Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,['Momos'],6PM to 2AM (Mon-Sun),6PM to 2AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,"['Cafe', 'Desserts']",10 AM to 12 AM,10 AM to 12 AM,
American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,"['American', 'FastFood', 'Salad', 'Burger']",12 PM to 4 AM,12 PM to 4 AM,
